道: dào
教: jiào
的: de
为: wèi
修: xīu
是: shì
神: shén
成: chéng
仙: xiān
中: zhōng
老: lǎo
主: zhǔ
在: zài
要: yào
宗: zōng
以: yǐ
信: xìn
、: 、
[: [
]: ]
子: zǐ
德: dé
仰: yǎng
等: děng
和: hé
化: huà
代: dài
家: jiā
為: wèi
太: tài
上: shàng
“: “
”: ”
術: shù
方: fāng
法: fǎ
一: yī
多: duō
求: qíu
生: shēng
國: guó
有: yǒu
界: jiè
学: xué
理: lǐ
论: lùn
了: le
（: （
）: ）
君: jūn
最: zùi
高: gāo
丹: dān
煉: liàn
與: yǔ
諸: zhū
追: zhūi
世: shì
古: gǔ
文: wén
地: dì
位: wèi
積: jī
哲: zhé
其: qí
「: 「
」: 」
念: niàn
學: xué
朝: zhāo
後: hòu
四: sì
立: lì
天: tiān
奉: fèng
作: zuò
传: chuán
形: xíng
式: shì
逐: zhú
善: shàn
唐: táng
姓: xìng
与: yǔ
国: guó
原: yuán
本: běn
部: bù
分: fēn
说: shuō
練: liàn
大: dà
並: bìng
经: jīng
內: nèi
儀: yí
來: lái
功: gōng
者: zhě
個: gè
崇: chóng
拜: bài
明: míng
旨: zhǐ
長: cháng
不: bù
死: sǐ
得: dé
濟: jì
救: jìu
人: rén
傳: chuán
統: tǒng
